dataset_id,ai_model_id,Accuracy,Precision
text_007,LSTM,0.8905,0.8829
text_007,CNN_Text,0.818,0.7982
text_007,Transformer_small,0.924,0.9266
text_007,GPT2_small,0.8302,0.8158
text_007,ELECTRA,0.8766,0.8579
text_008,BERT_base,0.8992,0.8878
text_008,DistilBERT,0.834,0.8276
text_008,RoBERTa,0.824,0.8329
text_008,ALBERT,0.9054,0.9081
text_008,BiLSTM,0.767,0.7491
text_008,LSTM,0.7815,0.7862
text_008,CNN_Text,0.8848,0.8757
text_008,Transformer_small,0.8824,0.8818
text_008,GPT2_small,0.8384,0.8293
text_008,ELECTRA,0.901,0.8855
text_009,BERT_base,0.836,0.8273
text_009,DistilBERT,0.8857,0.8852
text_009,RoBERTa,0.8834,0.8652
text_009,ALBERT,0.8291,0.833
text_009,BiLSTM,0.7515,0.7436
text_009,LSTM,0.7922,0.7777
text_009,CNN_Text,0.8011,0.7942
text_009,Transformer_small,0.7515,0.7614
text_009,GPT2_small,0.7851,0.7803
text_009,ELECTRA,0.8907,0.8907
text_010,BERT_base,0.9167,0.9289
text_010,DistilBERT,0.7644,0.7789
text_010,RoBERTa,0.7585,0.7392
text_010,ALBERT,0.9342,0.9487
text_010,BiLSTM,0.8652,0.8681
text_010,LSTM,0.8919,0.8886
text_010,CNN_Text,0.773,0.7539
text_010,Transformer_small,0.815,0.827
text_010,GPT2_small,0.8736,0.8869
text_010,ELECTRA,0.934,0.9175
text_011,BERT_base,0.9389,0.9286
text_011,DistilBERT,0.8878,0.8887
text_011,RoBERTa,0.8492,0.8416
text_011,ALBERT,0.8379,0.8312
text_011,BiLSTM,0.8036,0.804
text_011,LSTM,0.7928,0.7932
text_011,CNN_Text,0.95,0.944
text_011,Transformer_small,0.9155,0.9282
text_011,GPT2_small,0.933,0.9225
text_011,ELECTRA,0.7993,0.7872
text_012,BERT_base,0.8905,0.9009
text_012,DistilBERT,0.9011,0.8882
text_012,RoBERTa,0.9246,0.9243
text_012,ALBERT,0.9209,0.9313
text_012,BiLSTM,0.8598,0.8767
text_012,LSTM,0.8829,0.8883
text_012,CNN_Text,0.8949,0.9095
text_012,Transformer_small,0.8954,0.8815
text_012,GPT2_small,0.7837,0.7813
text_012,ELECTRA,0.8306,0.8216
text_013,BERT_base,0.7812,0.7815
text_013,DistilBERT,0.8321,0.8302
text_013,RoBERTa,0.7814,0.7946
text_013,ALBERT,0.7853,0.7999
text_013,BiLSTM,0.9411,0.9457
text_013,LSTM,0.8714,0.8699
text_013,CNN_Text,0.8809,0.8925
text_013,Transformer_small,0.9492,0.9472
text_013,GPT2_small,0.932,0.938
text_013,ELECTRA,0.8343,0.8333
text_014,BERT_base,0.7802,0.7626
text_014,DistilBERT,0.7707,0.7867
text_014,RoBERTa,0.8187,0.8273
text_014,ALBERT,0.8509,0.8378
text_014,BiLSTM,0.7995,0.7971
text_014,LSTM,0.8379,0.8388
text_014,CNN_Text,0.7817,0.7767
text_014,Transformer_small,0.8066,0.8029
text_014,GPT2_small,0.8177,0.8216
text_014,ELECTRA,0.9078,0.9137
text_015,BERT_base,0.7632,0.747
text_015,DistilBERT,0.8857,0.877
text_015,RoBERTa,0.8947,0.901
text_015,ALBERT,0.9313,0.9462
text_015,BiLSTM,0.8167,0.82
text_015,LSTM,0.7783,0.7723
text_015,CNN_Text,0.9435,0.9515
text_015,Transformer_small,0.8284,0.8322
text_015,GPT2_small,0.9376,0.93
text_015,ELECTRA,0.8253,0.837
text_016,BERT_base,0.9126,0.9194
text_016,DistilBERT,0.9158,0.9253
text_016,RoBERTa,0.8871,0.8881
text_016,ALBERT,0.8792,0.8761
text_016,BiLSTM,0.8224,0.8169
text_016,LSTM,0.7861,0.7746
text_016,CNN_Text,0.9395,0.939
text_016,Transformer_small,0.7953,0.7808
text_016,GPT2_small,0.7654,0.7792
text_016,ELECTRA,0.7702,0.7811
text_017,BERT_base,0.917,0.9324
text_017,DistilBERT,0.7575,0.751
text_017,RoBERTa,0.9033,0.8885
text_017,ALBERT,0.8253,0.8118
text_017,BiLSTM,0.9163,0.9271
text_017,LSTM,0.9118,0.8984
text_017,CNN_Text,0.8375,0.834
text_017,Transformer_small,0.8853,0.8748
text_017,GPT2_small,0.8388,0.8302
text_017,ELECTRA,0.8997,0.8977
